LASCO CME Y/M/D (UT),Disturbance Y/M/D (UT),Dst (nT)
2013/09/29 2145,2013/10/02 0154,-72
2013/10/06 1443,2013/10/08 2020,-69
2013/11/08 2200,2013/11/08 2200,-80
2013/11/07  1512,2013/11/11 1700,-30
2013/12/01 1100,2013/11/30 2000,-22
2013/12/12 0336,2013/12/15 1300,-23
2013/12/25 0500,2013/12/24 2100,-35
2014/02/06 0300,2014/02/05 1400,-31
2014/02/04 0036,2014/02/07 1705,-39
2014/02/11 1200,2014/02/10 1800,-24
2014/02/12 0612,2014/02/15 1316,-24
2014/02/17 0300,2014/02/17 0300,-27
2014/02/18 1500,2014/02/18 0640,-67
2014/02/19 1200,2014/02/19 0348,-119
2014/02/18  0136,2014/02/20 0318,-95
2014/04/02 1348,2014/04/05 1000,-15
2014/04/11 0600,2014/04/11 0600,-86
2014/04/18 1900,2014/04/18 1900,-19
2014/04/20 0100,2014/04/19 1836,-14
2014/04/18 1325,2014/04/20 1056,-32
2014/04/29 2000,2014/04/29 2000,-67
2014/06/04 1524,2014/06/07 1652,-37
2014/08/15 1812,2014/08/19 0657,-28
2014/09/10 1800,2014/09/12 1553,-88
2014/09/12 1924,2014/09/17 0200,-18
2014/11/07  1808,2014/11/10 0220,-65
2014/12/17 0500,2014/12/21 1911,-71
2015/01/02 1500,2015/01/02 0717,-49
2015/01/03 1400,2015/01/03 1400,-68
2015/01/03 0312,2015/01/07 0616,-107
2015/03/16 1400,2015/03/16 1400,7
2015/03/15 0236,2015/03/17 0445,-234
2015/03/22 0200,2015/03/21 2054,-56
2015/03/28 1100,2015/03/28 0000,-42
2015/03/29 1900,2015/03/29 1500,-40
2015/03/31 1800,2015/03/31 0832,-13
2015/04/05  2348,2015/04/09 1011,-9
2015/04/10 1300,2015/04/10 0000,-85
2015/05/06 1200,2015/05/06 0141,-35
2015/05/02  0948,2015/05/07 2100,-15
2015/05/10 1200,2015/05/10 1200,-57
2015/05/18 2000,2015/05/18 1900,-47
2015/06/21 0236,2015/06/22 1833,-198
2015/06/22 1836,2015/06/24 1329,-81
2015/06/26 1200,2015/06/26 0600,-51
2015/07/10 0224,2015/07/13 0138,-68
2015/08/07 1600,2015/08/07 0600,-37
2015/08/12 1512,2015/08/15 0829,-98
2015/08/26 0800,2015/08/26 0800,-103
2015/09/04 1924,2015/09/07 1400,-105
2015/09/13 0700,2015/09/13 0700,-44
2015/09/18 0500,2015/09/20 0604,-79
2015/10/22  0312,2015/10/24 1854,-16
2015/11/04 1500,2015/11/04 0355,-56
2015/11/04 1448,2015/11/06 1818,-87
2015/12/16 0924,2015/12/19 1616,-166
2015/12/28 1212,2015/12/31 0050,-116
2016/01/14 2324,2016/01/18 2157,-101
2016/01/24 1800,2016/01/24 1400,-15
2016/03/05 1900,2016/03/05 1000,-6
2016/03/20 1400,2016/03/20 0700,-42
2016/04/10 1112,2016/04/14 0735,-61
2016/04/17 0300,2016/04/17 0300,-30
2016/07/17 1248,2016/07/19 2305,-26
2016/07/24 2100,2016/07/24 1500,-37
2016/07/25 2200,2016/07/25 2200,-13
2016/07/28 2224,2016/08/02 1400,-16
2016/10/08 2109,2016/10/12 2212,-110
2016/11/04 1800,2016/11/04 1800,-16
2016/11/05 0424,2016/11/09 0604,-57
2017/04/04 0400,2017/04/04 0100,-44
2017/04/09 0000,2017/04/09 0000,-26
2017/04/14 0000,2017/04/13 1500,-25
2017/05/23 0536,2017/05/27 1534,-118
2017/07/14 0125,2017/07/16 0559,-72
2017/09/07 2000,2017/08/21 2200,-48
2017/09/04 2036,2017/09/06 2347,-2
2017/09/06 1224,2017/09/07 2302,-122
2017/12/25 0000,2017/12/25 0000,-27
2018/03/06 0130,2018/03/09 1809,-39
2018/05/13 0600,2018/05/13 0600,-21
2018/06/06 1100,2018/06/06 1100,-25
2018/06/25 1000,2018/06/25 0910,-48
2018/06/30 2000,2018/06/30 1300,-10
2018/08/20 2124,2018/08/25 0200,-175
2018/09/23 0400,2018/09/23 0400,-28
2019/05/07 2200,2019/05/07 2200,-2
2019/05/07 0442,2019/05/10 1754,-51
2019/05/14 0600,2019/05/13 2326,-65
2019/05/12 1948,2019/05/16 2100,-10
2019/05/27 0400,2019/05/26 2214,-16
2019/10/25  0554,2019/10/29 2000,-19
2019/11/11 1000,2019/11/11 0600,-23
2020/01/04 1000,2020/01/04 1000,-25
2020/04/14 2154,2020/04/20 0231,-59
2020/09/29 1209,2020/10/05 0806,-40
2020/12/07 1624,2020/12/10 0210,-10
2021/02/20 1124,2021/02/23 0200,-25
2021/05/09 1200,2021/05/12 0637,-61
2021/05/23 1012,2021/05/26 1244,-28
2021/07/05 0400,2021/07/05 0141,-18
2021/08/23 0636,2021/08/27 0114,-82
2021/09/22  0753,2021/09/27 0000,7
2021/09/28  0624,2021/10/01 1000,-30
2021/10/09  0712,2021/10/12 0226,-65
2021/11/01  0200,2021/11/03 1942,-105
2021/11/24  1426,2021/11/27 2251,-12
2022/01/16 2048,2022/01/18 2340,-44
2022/01/29  2336,2022/02/01 2220,-66
2022/02/04 0300,2022/02/03 2341,-56
2022/02/06 1400,2022/02/09 2100,-60
2022/03/09  2348,2022/03/13  1047,-85
2022/03/28  1200,2022/03/31 0224,-19
2022/04/03  1648,2022/04/06 2318,-26
2022/04/09  0912,2022/04/12 1122,-24
2022/04/11  0548,2022/04/14 0900,-81
2022/07/03  0309,2022/07/07 0900,-81
2022/07/05  0436,2022/07/08 0200,-37
2022/07/09 1400,2022/07/09 1200,-18
2022/07/15  1548,2022/07/18 2119,-61
2022/08/16  1524,2022/08/19 1731,-38
2022/08/30 2200,2022/08/30 1925,-8
2022/09/07  2236,2022/09/12 0700,-17
2022/10/21 1000,2022/10/21 1000,-76
2022/11/07 0300,2022/11/06 2000,-92
2022/11/12 1200,2022/11/12 1200,-9
2022/12/30 1653,2023/01/03 2100,-61
2023/02/25 1924,2023/02/27 1000,-132
2023/03/01 0900,2023/03/01 0000,-29
2023/03/02 0900,2023/03/02 0900,-37
2023/03/12 0900,2023/03/12 0600,-2
2023/03/12 1912,2023/03/15 0427,-38
2023/03/20 0241,2023/03/23 0500,-163
2023/04/19 0800,2023/04/18 1402,-36
2023/04/21 1812,2023/04/23 1738,-212
2023/05/07 2312,2023/05/09 2250,-18
2023/05/09 1900,2023/05/12 0633,-16
2023/05/20 1000,2023/05/20 1000,-57
2023/07/04 0412,2023/07/07 1200,-33
2023/07/10  0400,2023/07/14 1611,-34
2023/07/14 1903,2023/07/16 1922,-53
2023/07/23 1506,2023/07/25 2233,-52
2023/08/02  0912,2023/08/05 0255,-93
2023/08/30 2200,2023/09/02 0434,-61
2023/09/14  0724 ,2023/09/17 0234,-23
2023/09/16 0912 ,2023/09/18 1331,-85
2023/09/22 0224 ,2023/09/24 2043,-69
2023/09/29 1000,2023/09/28 2131,-47
2023/10/02 1824,2023/10/05 2225,-17
2023/11/09 1223,2023/11/12 0613,-42
2023/11/28 2024,2023/12/01 0926,-107
2023/12/12 0000,2023/12/15 1148,-33
2023/12/14 0836 ,2023/12/17 0739,-83
